Customer ID,Age Group,Preferred Style,Purchase Frequency,Average Spend (INR),Top Competitor Chosen,Influencing Factor,Purchase Channel,City
CUST1000,18-25,Industrial,3,45475.85,IKEA India,Social Influence,WhatsApp,Bangalore
CUST1001,18-25,Unknown,5,24506.06,Amazon India,Unknown,Instagram,Bangalore
CUST1002,26-35,Bohemian,5,24506.06,Flipkart,Brand Reputation,Instagram,Hyderabad
CUST1003,46-60,Bohemian,2,42551.38,HomeTown,Price,In-Store,Delhi
CUST1004,36-45,Unknown,1,9224.87,Flipkart,Price,In-Store,Bangalore
CUST1005,18-25,Minimalist,3,32021.42,Amazon India,Sustainability,Instagram,Bangalore
CUST1006,Unknown,Bohemian,3,24506.06,Urban Ladder,Discounts,WhatsApp,Bangalore
CUST1007,46-60,Minimalist,3,40787.7,Flipkart,Brand Reputation,In-Store,Chennai
CUST1008,46-60,Traditional,3,48129.91,HomeTown,Unknown,In-Store,Bangalore
CUST1009,46-60,Bohemian,3,14688.41,Urban Ladder,Sustainability,In-Store,Kolkata
CUST1010,46-60,Minimalist,1,3664.35,Unknown,Brand Reputation,Online,Chennai
CUST1011,Unknown,Modern,3,39454.99,IKEA India,Discounts,WhatsApp,Chennai
CUST1012,Unknown,Unknown,3,1116.75,IKEA India,Social Influence,Unknown,Kolkata
CUST1013,Unknown,Bohemian,1,24506.06,Pepperfry,Price,Instagram,Bangalore
CUST1014,Unknown,Industrial,6,17439.48,HomeTown,Price,Unknown,Hyderabad
CUST1015,46-60,Modern,1,24506.06,Flipkart,Quality,WhatsApp,Kolkata
CUST1016,Unknown,Minimalist,3,13663.27,Urban Ladder,Social Influence,Online,Chennai
CUST1017,46-60,Traditional,3,24506.06,Amazon India,Quality,In-Store,Bangalore
CUST1018,18-25,Unknown,1,45363.02,HomeTown,Quality,In-Store,Mumbai
CUST1019,Unknown,Unknown,3,24506.06,Urban Ladder,Sustainability,Unknown,Unknown
CUST1020,36-45,Industrial,3,24506.06,Urban Ladder,Unknown,In-Store,Delhi
CUST1021,Unknown,Minimalist,6,47132.86,IKEA India,Price,Instagram,Pune
CUST1022,18-25,Minimalist,3,14976.03,Amazon India,Social Influence,Unknown,Kolkata
CUST1023,36-45,Industrial,3,24506.06,Unknown,Social Influence,WhatsApp,Unknown
CUST1024,46-60,Traditional,3,12589.93,Flipkart,Sustainability,Online,Mumbai
CUST1025,36-45,Industrial,3,35186.77,HomeTown,Price,In-Store,Bangalore
CUST1026,26-35,Minimalist,3,24506.06,Amazon India,Price,WhatsApp,Chennai
CUST1027,36-45,Industrial,1,24506.06,Unknown,Discounts,Unknown,Pune
CUST1028,36-45,Unknown,3,30363.26,Pepperfry,Sustainability,In-Store,Hyderabad
CUST1029,46-60,Bohemian,3,12061.56,Amazon India,Price,Unknown,Bangalore
CUST1030,Unknown,Unknown,3,24506.06,Amazon India,Sustainability,In-Store,Kolkata
CUST1031,Unknown,Bohemian,2,24506.06,HomeTown,Price,Instagram,Pune
CUST1032,Unknown,Unknown,2,24506.06,IKEA India,Unknown,Instagram,Bangalore
CUST1033,18-25,Industrial,3,38507.74,Amazon India,Unknown,Online,Bangalore
CUST1034,18-25,Modern,2,8894.73,Pepperfry,Quality,WhatsApp,Unknown
CUST1035,Unknown,Modern,4,1514.06,Amazon India,Quality,Unknown,Unknown
CUST1036,26-35,Minimalist,3,25107.98,Flipkart,Social Influence,In-Store,Bangalore
CUST1037,36-45,Bohemian,4,6154.53,Unknown,Brand Reputation,Unknown,Kolkata
CUST1038,36-45,Minimalist,4,24506.06,Pepperfry,Brand Reputation,In-Store,Kolkata
CUST1039,36-45,Bohemian,3,24506.06,HomeTown,Brand Reputation,Instagram,Unknown
CUST1040,26-35,Modern,5,24506.06,Unknown,Price,Online,Delhi
CUST1041,36-45,Industrial,3,11075.7,IKEA India,Quality,Unknown,Delhi
CUST1042,36-45,Bohemian,3,43021.29,HomeTown,Price,Unknown,Kolkata
CUST1043,36-45,Bohemian,3,24506.06,IKEA India,Price,Instagram,Unknown
CUST1044,Unknown,Unknown,6,24506.06,IKEA India,Sustainability,Instagram,Kolkata
CUST1045,36-45,Bohemian,3,2988.81,Amazon India,Unknown,Unknown,Chennai
CUST1046,Unknown,Minimalist,5,12552.34,Urban Ladder,Quality,In-Store,Delhi
CUST1047,Unknown,Minimalist,3,36837.36,HomeTown,Quality,In-Store,Bangalore
CUST1048,Unknown,Minimalist,3,33149.28,IKEA India,Social Influence,In-Store,Hyderabad
CUST1049,36-45,Bohemian,3,34358.61,Amazon India,Quality,WhatsApp,Delhi
CUST1050,26-35,Bohemian,3,24506.06,Unknown,Sustainability,In-Store,Chennai
CUST1051,26-35,Bohemian,3,18190.18,Pepperfry,Price,WhatsApp,Hyderabad
CUST1052,26-35,Bohemian,3,25196.09,IKEA India,Sustainability,Unknown,Unknown
CUST1053,18-25,Unknown,2,36613.08,IKEA India,Sustainability,In-Store,Hyderabad
CUST1054,Unknown,Modern,3,14450.32,Unknown,Price,Instagram,Hyderabad
CUST1055,46-60,Industrial,3,32604.88,Flipkart,Price,In-Store,Bangalore
CUST1056,26-35,Bohemian,3,15938.74,Unknown,Price,Unknown,Unknown
CUST1057,26-35,Industrial,2,4338.18,Flipkart,Social Influence,In-Store,Bangalore
CUST1058,26-35,Traditional,3,24506.06,Flipkart,Quality,In-Store,Bangalore
CUST1059,46-60,Modern,5,24506.06,Flipkart,Unknown,Online,Pune
CUST1060,18-25,Modern,3,24506.06,IKEA India,Brand Reputation,In-Store,Kolkata
CUST1061,26-35,Bohemian,2,24506.06,Unknown,Social Influence,WhatsApp,Unknown
CUST1062,46-60,Bohemian,5,24506.06,Urban Ladder,Discounts,Unknown,Kolkata
CUST1063,18-25,Industrial,4,24506.06,HomeTown,Price,In-Store,Hyderabad
CUST1064,Unknown,Unknown,1,49808.52,Unknown,Unknown,WhatsApp,Bangalore
CUST1065,26-35,Bohemian,3,24506.06,HomeTown,Quality,In-Store,Mumbai
CUST1066,Unknown,Bohemian,3,6837.12,Flipkart,Discounts,Unknown,Pune
CUST1067,18-25,Minimalist,3,1541.28,Unknown,Discounts,Instagram,Kolkata
CUST1068,Unknown,Industrial,3,3625.57,IKEA India,Price,Instagram,Chennai
CUST1069,46-60,Minimalist,3,4613.05,IKEA India,Brand Reputation,WhatsApp,Delhi
CUST1070,18-25,Minimalist,4,11647.61,Pepperfry,Sustainability,WhatsApp,Unknown
CUST1071,46-60,Industrial,6,24506.06,Unknown,Price,In-Store,Unknown
CUST1072,36-45,Modern,5,24506.06,Flipkart,Discounts,In-Store,Hyderabad
CUST1073,36-45,Minimalist,3,24506.06,HomeTown,Discounts,Online,Kolkata
CUST1074,46-60,Bohemian,3,24506.06,HomeTown,Brand Reputation,Online,Chennai
CUST1075,18-25,Bohemian,3,10077.42,IKEA India,Price,In-Store,Bangalore
CUST1076,36-45,Industrial,3,28729.05,Amazon India,Unknown,Online,Hyderabad
CUST1077,46-60,Bohemian,3,12568.59,Urban Ladder,Price,WhatsApp,Chennai
CUST1078,46-60,Traditional,6,24506.06,IKEA India,Social Influence,Online,Pune
CUST1079,26-35,Bohemian,3,12771.51,Urban Ladder,Unknown,In-Store,Delhi
CUST1080,36-45,Minimalist,3,5292.49,Flipkart,Price,WhatsApp,Pune
CUST1081,Unknown,Bohemian,5,34593.74,HomeTown,Social Influence,In-Store,Bangalore
CUST1082,46-60,Modern,3,7923.06,Amazon India,Quality,WhatsApp,Bangalore
CUST1083,36-45,Bohemian,5,18233.35,Urban Ladder,Brand Reputation,WhatsApp,Bangalore
CUST1084,18-25,Unknown,5,24506.06,IKEA India,Discounts,WhatsApp,Hyderabad
CUST1085,Unknown,Unknown,6,46759.06,HomeTown,Sustainability,Instagram,Mumbai
CUST1086,36-45,Industrial,3,24506.06,IKEA India,Unknown,WhatsApp,Mumbai
CUST1087,Unknown,Minimalist,3,24506.06,Urban Ladder,Brand Reputation,WhatsApp,Bangalore
CUST1088,Unknown,Minimalist,6,25027.81,Amazon India,Sustainability,Instagram,Bangalore
