Customer ID,Age Group,Preferred Style,Purchase Frequency,Average Spend (INR),Top Competitor Chosen,Influencing Factor,Purchase Channel,City
CUST1000,18-25,Industrial,,45475.85,ikea ind,Social Influence,WhatsApp,Banglore
CUST1001,18-25,,5.0,,Amazon India,,Instagram,Bangalore
CUST1002,26-35,Bohemian,5.0,,Flipkart,Brand Reputation,Instagram,Hyderabad
CUST1003,46-60,Bohemian,2.0,42551.38,HomeTown,pricee,In-Store,Delhi
CUST1004,36-45,,1.0,9224.87,Flipkart,Price,In-Store,Bangalore
CUST1005,18-25,Minimalist,,32021.42,Amazon India,Sustainability,Instagram,Banglore
CUST1006,,bohemn,,,Urban Ladder,Discounts,WhatsApp,Bangalore
CUST1007,46-60,Minimalist,,40787.7,Flipkart,Brand Reputation,in store,Chennai
CUST1008,46-60,Traditional,,48129.91,HomeTown,,In-Store,Banglore
CUST1009,46-60,bohemn,3.0,14688.41,Urban Ladder,Sustainability,In-Store,Kolkata
CUST1010,46-60,minimalst,1.0,3664.35,,Brand Reputation,Online,Chennai
CUST1011,,Modern,,39454.99,IKEA India,Discounts,WhatsApp,Chennai
CUST1012,,,,1116.75,IKEA India,Social Influence,,Kolkata
CUST1013,,bohemn,1.0,,Pepperfry,pricee,Instagram,Bangalore
CUST1014,,Industrial,6.0,17439.48,HomeTown,Price,,Hyderabad
CUST1015,46-60,Modern,1.0,,Flipkart,Quality,WhatsApp,Kolkata
CUST1016,,Minimalist,3.0,13663.27,Urban Ladder,Social Influence,Online,Chennai
CUST1017,46-60,Traditional,,,Amazon India,Quality,In-Store,Banglore
CUST1018,18-25,,1.0,45363.02,HomeTown,Quality,In-Store,Mumbai
CUST1019,,,,,Urban Ladder,Sustainability,,
CUST1020,36-45,Industrial,,,Urban Ladder,,In-Store,Delhi
CUST1021,,minimalst,6.0,47132.86,ikea ind,pricee,Instagram,Pune
CUST1022,18-25,minimalst,3.0,14976.03,Amazon India,Social Influence,,Kolkata
CUST1023,36-45,Industrial,3.0,,,Social Influence,WhatsApp,
CUST1024,46-60,Traditional,,12589.93,Flipkart,Sustainability,Online,Mumbai
CUST1025,36-45,Industrial,,35186.77,HomeTown,pricee,In-Store,Bangalore
CUST1026,26-35,Minimalist,,,Amazon India,Price,WhatsApp,Chennai
CUST1027,36-45,Industrial,1.0,,,Discounts,,Pune
CUST1028,36-45,,3.0,30363.26,Pepperfry,Sustainability,in store,Hyderabad
CUST1029,46-60,Bohemian,,12061.56,Amazon India,Price,,Bangalore
CUST1030,,,3.0,,Amazon India,Sustainability,in store,Kolkata
CUST1031,,bohemn,2.0,,HomeTown,pricee,Instagram,Pune
CUST1032,,,2.0,,IKEA India,,Instagram,Bangalore
CUST1033,18-25,Industrial,3.0,38507.74,Amazon India,,Online,Banglore
CUST1034,18-25,Modern,2.0,8894.73,Pepperfry,Quality,WhatsApp,
CUST1035,,Modern,4.0,1514.06,Amazon India,Quality,,
CUST1036,26-35,minimalst,,25107.98,Flipkart,Social Influence,In-Store,Banglore
CUST1037,36-45,Bohemian,4.0,6154.53,,Brand Reputation,,Kolkata
CUST1038,36-45,Minimalist,4.0,,Pepperfry,Brand Reputation,in store,Kolkata
CUST1039,36-45,bohemn,,,HomeTown,Brand Reputation,Instagram,
CUST1040,26-35,Modern,5.0,,,pricee,Online,Delhi
CUST1041,36-45,Industrial,,11075.7,ikea ind,Quality,,Delhi
CUST1042,36-45,bohemn,,43021.29,HomeTown,Price,,Kolkata
CUST1043,36-45,Bohemian,,,IKEA India,pricee,Instagram,
CUST1044,,,6.0,,ikea ind,Sustainability,Instagram,Kolkata
CUST1045,36-45,Bohemian,,2988.81,Amazon India,,,Chennai
CUST1046,,minimalst,5.0,12552.34,Urban Ladder,Quality,in store,Delhi
CUST1047,,minimalst,,36837.36,HomeTown,Quality,In-Store,Bangalore
CUST1048,,minimalst,,33149.28,ikea ind,Social Influence,in store,Hyderabad
CUST1049,36-45,Bohemian,,34358.61,Amazon India,Quality,WhatsApp,Delhi
CUST1050,26-35,Bohemian,,,,Sustainability,In-Store,Chennai
CUST1051,26-35,bohemn,3.0,18190.18,Pepperfry,pricee,WhatsApp,Hyderabad
CUST1052,26-35,bohemn,,25196.09,IKEA India,Sustainability,,
CUST1053,18-25,,2.0,36613.08,IKEA India,Sustainability,in store,Hyderabad
CUST1054,,Modern,,14450.32,,pricee,Instagram,Hyderabad
CUST1055,46-60,Industrial,,32604.88,Flipkart,Price,in store,Bangalore
CUST1056,26-35,Bohemian,,15938.74,,pricee,,
CUST1057,26-35,Industrial,2.0,4338.18,Flipkart,Social Influence,In-Store,Banglore
CUST1058,26-35,Traditional,,,Flipkart,Quality,In-Store,Bangalore
CUST1059,46-60,Modern,5.0,,Flipkart,,Online,Pune
CUST1060,18-25,Modern,,,ikea ind,Brand Reputation,in store,Kolkata
CUST1061,26-35,bohemn,2.0,,,Social Influence,WhatsApp,
CUST1062,46-60,bohemn,5.0,,Urban Ladder,Discounts,,Kolkata
CUST1063,18-25,Industrial,4.0,,HomeTown,Price,in store,Hyderabad
CUST1064,,,1.0,49808.52,,,WhatsApp,Bangalore
CUST1065,26-35,bohemn,,,HomeTown,Quality,in store,Mumbai
CUST1066,,bohemn,3.0,6837.12,Flipkart,Discounts,,Pune
CUST1067,18-25,minimalst,,1541.28,,Discounts,Instagram,Kolkata
CUST1068,,Industrial,,3625.57,IKEA India,pricee,Instagram,Chennai
CUST1069,46-60,minimalst,3.0,4613.05,ikea ind,Brand Reputation,WhatsApp,Delhi
CUST1070,18-25,minimalst,4.0,11647.61,Pepperfry,Sustainability,WhatsApp,
CUST1071,46-60,Industrial,6.0,,,Price,In-Store,
CUST1072,36-45,Modern,5.0,,Flipkart,Discounts,In-Store,Hyderabad
CUST1073,36-45,Minimalist,,,HomeTown,Discounts,Online,Kolkata
CUST1074,46-60,Bohemian,,,HomeTown,Brand Reputation,Online,Chennai
CUST1075,18-25,Bohemian,3.0,10077.42,ikea ind,pricee,In-Store,Banglore
CUST1076,36-45,Industrial,,28729.05,Amazon India,,Online,Hyderabad
CUST1077,46-60,Bohemian,3.0,12568.59,Urban Ladder,pricee,WhatsApp,Chennai
CUST1078,46-60,Traditional,6.0,,ikea ind,Social Influence,Online,Pune
CUST1079,26-35,bohemn,,12771.51,Urban Ladder,,in store,Delhi
CUST1080,36-45,Minimalist,,5292.49,Flipkart,Price,WhatsApp,Pune
CUST1081,,Bohemian,5.0,34593.74,HomeTown,Social Influence,in store,Banglore
CUST1082,46-60,Modern,,7923.06,Amazon India,Quality,WhatsApp,Bangalore
